paper,relevance,link
NYT,global,https://developers.nytimes.com/
El_Nuevo_Dia,local,https://www.elnuevodia.com/
Houston_Chronicle,local,https://www.chron.com/
Florida_Times_Union,local,https://www.jacksonville.com/
